Sequence	Position	P start	P occupied
SEQ1	72	0.00162	0.375
SEQ1	73	0.00198	0.377
SEQ1	74	0.00224	0.379
SEQ1	75	0.00326	0.382
SEQ1	76	0.00531	0.388
SEQ1	77	0.00585	0.394
SEQ1	78	0.00507	0.399
SEQ1	79	0.00496	0.404
SEQ1	80	0.00463	0.408
SEQ1	81	0.00363	0.412
SEQ1	82	0.00327	0.415
SEQ1	83	0.003	0.418
SEQ1	84	0.0046	0.423
SEQ1	85	0.00545	0.428
SEQ1	86	0.00949	0.438
SEQ1	87	0.016	0.454
SEQ1	88	0.0156	0.469
SEQ1	89	0.0122	0.482
SEQ1	90	0.00514	0.487
SEQ1	91	0.00288	0.490
SEQ1	92	0.00224	0.492
SEQ1	93	0.0025	0.494
SEQ1	94	0.00502	0.499
SEQ1	95	0.0099	0.509
SEQ1	96	0.0188	0.528
SEQ1	97	0.0272	0.555
SEQ1	98	0.022	0.577
SEQ1	99	0.0112	0.588
SEQ1	100	0.00579	0.594
SEQ1	101	0.00277	0.597
SEQ1	102	0.00264	0.600
SEQ1	103	0.00342	0.603
SEQ1	104	0.00578	0.609
SEQ1	105	0.00651	0.615
SEQ1	106	0.00856	0.624
SEQ1	107	0.00681	0.631
SEQ1	108	0.00712	0.638
SEQ1	109	0.00665	0.644
SEQ1	110	0.00459	0.649
SEQ1	111	0.00361	0.653
SEQ1	112	0.0032	0.656
SEQ1	113	0.00219	0.658
SEQ1	114	0.0016	0.660
SEQ1	115	0.00161	0.661
SEQ1	116	0.00136	0.663
SEQ1	117	0.00145	0.664
SEQ1	118	0.00243	0.667
SEQ1	119	0.00329	0.670
SEQ1	120	0.00357	0.673
SEQ1	121	0.00308	0.676
SEQ1	122	0.00237	0.679
SEQ1	123	0.00189	0.681
SEQ1	124	0.00129	0.682
SEQ1	125	0.00113	0.683
SEQ1	126	0.00169	0.685
SEQ1	127	0.00272	0.688
SEQ1	128	0.00291	0.690
SEQ1	129	0.00241	0.693
SEQ1	130	0.00149	0.694
SEQ1	131	0.000985	0.695
SEQ1	132	0.000814	0.696
SEQ1	133	0.000792	0.697
SEQ1	134	0.000753	0.698
SEQ1	135	0.000946	0.699
SEQ1	136	0.00093	0.700
SEQ1	137	0.000971	0.701
SEQ1	138	0.000969	0.702
SEQ1	139	0.000868	0.702
SEQ1	140	0.000648	0.703
SEQ1	141	0.000491	0.704
SEQ1	142	0.000464	0.704
SEQ1	143	0.00033	0.704
SEQ1	144	0.000285	0.705
SEQ1	145	0.000183	0.705
SEQ1	146	0.000164	0.705
SEQ1	147	0.000197	0.696
SEQ1	148	0.000229	0.692
SEQ1	149	0.000252	0.690
SEQ1	150	0.000328	0.689
SEQ1	151	0.000407	0.688
SEQ1	152	0.00047	0.687
SEQ1	153	0.000603	0.686
SEQ1	154	0.000757	0.682
SEQ1	155	0.00102	0.677
SEQ1	156	0.00102	0.672
SEQ1	157	0.00134	0.668
SEQ1	158	0.00154	0.666
SEQ1	159	0.00126	0.665
SEQ1	160	0.00112	0.664
SEQ1	161	0.00144	0.663
SEQ1	162	0.00191	0.662
SEQ1	163	0.00314	0.660
SEQ1	164	0.00456	0.651
SEQ1	165	0.00406	0.638
SEQ1	166	0.00303	0.629
SEQ1	167	0.00183	0.624
SEQ1	168	0.00147	0.622
SEQ1	169	0.00133	0.622
SEQ1	170	0.000977	0.622
SEQ1	171	0.00112	0.621
SEQ1	172	0.00117	0.619
SEQ1	173	0.000824	0.614
SEQ1	174	0.000941	0.603
SEQ1	175	0.00108	0.575
SEQ1	176	0.002	0.533
SEQ1	177	0.00277	0.500
SEQ1	178	0.00337	0.483
SEQ1	179	0.00208	0.477
SEQ1	180	0.00178	0.475
SEQ1	181	0.00173	0.475
SEQ1	182	0.00154	0.475
SEQ1	183	0.002	0.476
SEQ1	184	0.00241	0.476
SEQ1	185	0.00168	0.474
SEQ1	186	0.00128	0.470
SEQ1	187	0.000916	0.467
SEQ1	188	0.00103	0.465
SEQ1	189	0.00158	0.465
SEQ1	190	0.00221	0.467
SEQ1	191	0.00223	0.468
SEQ1	192	0.00194	0.469
SEQ1	193	0.00185	0.469
SEQ1	194	0.00201	0.470
SEQ1	195	0.00195	0.469
SEQ1	196	0.00264	0.470
SEQ1	197	0.00275	0.471
SEQ1	198	0.00253	0.472
SEQ1	199	0.00157	0.471
SEQ1	200	0.00103	0.470
SEQ1	201	0.000759	0.469
SEQ1	202	0.000815	0.468
SEQ1	203	0.000784	0.467
SEQ1	204	0.00141	0.466
SEQ1	205	0.00181	0.465
SEQ1	206	0.00162	0.463
SEQ1	207	0.00137	0.462
SEQ1	208	0.000692	0.460
SEQ1	209	0.000423	0.459
SEQ1	210	0.000318	0.458
SEQ1	211	0.000304	0.458
SEQ1	212	0.000438	0.457
SEQ1	213	0.000606	0.455
SEQ1	214	0.000917	0.450
SEQ1	215	0.000862	0.444
SEQ1	216	0.00117	0.440
SEQ1	217	0.00156	0.437
SEQ1	218	0.00164	0.437
SEQ1	219	0.00182	0.437
SEQ1	220	0.00154	0.437
SEQ1	221	0.0012	0.436
SEQ1	222	0.000972	0.433
SEQ1	223	0.00153	0.430
SEQ1	224	0.00205	0.426
SEQ1	225	0.00251	0.423
SEQ1	226	0.00276	0.421
SEQ1	227	0.00247	0.419
SEQ1	228	0.00218	0.417
SEQ1	229	0.00252	0.417
SEQ1	230	0.00287	0.416
SEQ1	231	0.00467	0.417
SEQ1	232	0.00943	0.421
SEQ1	233	0.00713	0.418
SEQ1	234	0.00547	0.408
SEQ1	235	0.00331	0.395
SEQ1	236	0.00169	0.385
SEQ1	237	0.00116	0.381
SEQ1	238	0.00133	0.379
SEQ1	239	0.00102	0.378
SEQ1	240	0.00104	0.377
SEQ1	241	0.00112	0.373
SEQ1	242	0.0011	0.364
SEQ1	243	0.00169	0.347
SEQ1	244	0.0019	0.322
SEQ1	245	0.00356	0.303
SEQ1	246	0.00541	0.297
SEQ1	247	0.00603	0.298
SEQ1	248	0.00549	0.300
SEQ1	249	0.00357	0.301
SEQ1	250	0.00304	0.301
SEQ1	251	0.00297	0.298
SEQ1	252	0.00304	0.295
SEQ1	253	0.00228	0.288
SEQ1	254	0.00152	0.283
SEQ1	255	0.000962	0.277
SEQ1	256	0.000651	0.271
SEQ1	257	0.000595	0.267
SEQ1	258	0.000855	0.264
SEQ1	259	0.00164	0.262
SEQ1	260	0.00319	0.263
SEQ1	261	0.00398	0.266
SEQ1	262	0.00418	0.268
SEQ1	263	0.00392	0.271
SEQ1	264	0.0049	0.274
SEQ1	265	0.00781	0.280
SEQ1	266	0.00641	0.283
SEQ1	267	0.00623	0.286
SEQ1	268	0.00483	0.287
SEQ1	269	0.00393	0.289
SEQ1	270	0.0044	0.291
SEQ1	271	0.00555	0.296
SEQ1	272	0.00671	0.301
SEQ1	273	0.00906	0.309
SEQ1	274	0.00866	0.315
SEQ1	275	0.00393	0.316
SEQ1	276	0.00237	0.316
SEQ1	277	0.00123	0.315
SEQ1	278	0.00135	0.316
SEQ1	279	0.00181	0.317
SEQ1	280	0.0043	0.320
SEQ1	281	0.0125	0.332
SEQ1	282	0.0204	0.351
SEQ1	283	0.0182	0.369
SEQ1	284	0.00571	0.373
SEQ1	285	0.00219	0.375
SEQ1	286	0.00152	0.375
SEQ1	287	0.00136	0.376
SEQ1	288	0.00153	0.377
SEQ1	289	0.00166	0.378
SEQ1	290	0.0016	0.379
SEQ1	291	0.0024	0.382
SEQ1	292	0.00425	0.386
SEQ1	293	0.0053	0.391
SEQ1	294	0.00656	0.397
SEQ1	295	0.00424	0.401
SEQ1	296	0.00172	0.403
SEQ1	297	0.000867	0.403
SEQ1	298	0.000666	0.403
SEQ1	299	0.000905	0.404
SEQ1	300	0.00162	0.405
SEQ1	301	0.00407	0.408
SEQ1	302	0.00836	0.416
SEQ1	303	0.0113	0.426
SEQ1	304	0.00673	0.431
SEQ1	305	0.00359	0.433
SEQ1	306	0.00255	0.435
SEQ1	307	0.00168	0.435
SEQ1	308	0.00157	0.435
SEQ1	309	0.00153	0.435
SEQ1	310	0.00187	0.434
SEQ1	311	0.00134	0.430
SEQ1	312	0.00116	0.427
SEQ1	313	0.00129	0.426
SEQ1	314	0.00194	0.426
SEQ1	315	0.00382	0.428
SEQ1	316	0.00405	0.431
SEQ1	317	0.00315	0.433
SEQ1	318	0.00189	0.434
SEQ1	319	0.00143	0.434
SEQ1	320	0.00204	0.435
SEQ1	321	0.00256	0.437
SEQ1	322	0.00376	0.440
SEQ1	323	0.00298	0.441
SEQ1	324	0.0019	0.440
SEQ1	325	0.00149	0.438
SEQ1	326	0.00134	0.437
SEQ1	327	0.00184	0.437
SEQ1	328	0.00224	0.438
SEQ1	329	0.00354	0.440
SEQ1	330	0.00856	0.446
SEQ1	331	0.0119	0.456
SEQ1	332	0.0121	0.466
SEQ1	333	0.0093	0.474
SEQ1	334	0.00589	0.479
SEQ1	335	0.00338	0.481
SEQ1	336	0.00234	0.482
SEQ1	337	0.00155	0.482
SEQ1	338	0.00099	0.480
SEQ1	339	0.00088	0.479
SEQ1	340	0.000958	0.478
SEQ1	341	0.00163	0.478
SEQ1	342	0.0024	0.478
SEQ1	343	0.00257	0.478
SEQ1	344	0.00249	0.478
SEQ1	345	0.00167	0.477
SEQ1	346	0.00135	0.477
SEQ1	347	0.00172	0.478
SEQ1	348	0.00262	0.480
SEQ1	349	0.00482	0.484
SEQ1	350	0.00635	0.489
SEQ1	351	0.0065	0.494
SEQ1	352	0.00655	0.499
SEQ1	353	0.00434	0.502
SEQ1	354	0.00279	0.503
SEQ1	355	0.00232	0.505
SEQ1	356	0.00243	0.507
SEQ1	357	0.00339	0.510
SEQ1	358	0.00466	0.514
SEQ1	359	0.00545	0.519
SEQ1	360	0.00607	0.525
SEQ1	361	0.00682	0.531
SEQ1	362	0.00603	0.536
SEQ1	363	0.00763	0.542
SEQ1	364	0.0072	0.548
SEQ1	365	0.0075	0.554
SEQ1	366	0.00536	0.557
SEQ1	367	0.00361	0.559
SEQ1	368	0.00418	0.562
SEQ1	369	0.00482	0.566
SEQ1	370	0.00651	0.571
SEQ1	371	0.0045	0.574
SEQ1	372	0.00238	0.573
SEQ1	373	0.00117	0.572
SEQ1	374	0.000753	0.570
SEQ1	375	0.000735	0.569
SEQ1	376	0.000717	0.567
SEQ1	377	0.000799	0.565
SEQ1	378	0.000999	0.561
SEQ1	379	0.00164	0.553
SEQ1	380	0.00311	0.549
SEQ1	381	0.00402	0.548
SEQ1	382	0.00469	0.549
SEQ1	383	0.0026	0.550
SEQ1	384	0.00181	0.551
SEQ1	385	0.00134	0.551
SEQ1	386	0.00154	0.551
SEQ1	387	0.00214	0.552
SEQ1	388	0.00196	0.553
SEQ1	389	0.00286	0.555
SEQ1	390	0.00413	0.557
SEQ1	391	0.00558	0.561
SEQ1	392	0.00582	0.563
SEQ1	393	0.00432	0.562
SEQ1	394	0.00371	0.560
SEQ1	395	0.00261	0.557
SEQ1	396	0.00171	0.555
SEQ1	397	0.00147	0.554
SEQ1	398	0.00123	0.552
SEQ1	399	0.000965	0.550
SEQ1	400	0.000969	0.549
SEQ1	401	0.000803	0.548
SEQ1	402	0.000581	0.547
SEQ1	403	0.000305	0.547
SEQ1	404	0.000139	0.547
SEQ1	405	5.66e-05	0.546
SEQ1	406	3.4e-05	0.544
SEQ1	407	5.06e-05	0.541
SEQ1	408	9.82e-05	0.537
SEQ1	409	0.000257	0.533
SEQ1	410	0.000458	0.530
SEQ1	411	0.000744	0.526
SEQ1	412	0.00086	0.519
SEQ1	413	0.000759	0.513
SEQ1	414	0.000513	0.507
SEQ1	415	0.000402	0.503
SEQ1	416	0.000229	0.499
SEQ1	417	0.000202	0.495
SEQ1	418	0.000286	0.490
SEQ1	419	0.000435	0.484
SEQ1	420	0.000612	0.475
SEQ1	421	0.000805	0.467
SEQ1	422	0.000829	0.464
SEQ1	423	0.00105	0.463
SEQ1	424	0.0011	0.463
SEQ1	425	0.000681	0.462
SEQ1	426	0.000394	0.461
SEQ1	427	0.000197	0.456
SEQ1	428	0.000146	0.444
SEQ1	429	0.000122	0.424
SEQ1	430	0.000139	0.406
SEQ1	431	0.000159	0.400
SEQ1	432	0.000243	0.398
SEQ1	433	0.000286	0.397
SEQ1	434	0.000409	0.396
SEQ1	435	0.000723	0.395
SEQ1	436	0.000748	0.394
SEQ1	437	0.000607	0.393
SEQ1	438	0.000327	0.391
SEQ1	439	0.000169	0.387
SEQ1	440	0.000108	0.382
SEQ1	441	0.000105	0.376
SEQ1	442	0.000117	0.371
SEQ1	443	0.000192	0.370
SEQ1	444	0.000282	0.369
SEQ1	445	0.000409	0.369
SEQ1	446	0.000368	0.369
SEQ1	447	0.000303	0.367
SEQ1	448	0.000214	0.363
SEQ1	449	0.000167	0.355
SEQ1	450	0.000125	0.344
SEQ1	451	0.000142	0.337
SEQ1	452	0.000178	0.334
SEQ1	453	0.000157	0.332
SEQ1	454	0.000158	0.330
SEQ1	455	0.000147	0.329
SEQ1	456	0.000168	0.327
SEQ1	457	0.00026	0.326
SEQ1	458	0.000318	0.325
SEQ1	459	0.000229	0.324
SEQ1	460	0.000117	0.323
SEQ1	461	5.55e-05	0.321
SEQ1	462	2.64e-05	0.317
SEQ1	463	2.49e-05	0.313
SEQ1	464	3.35e-05	0.310
SEQ1	465	4.29e-05	0.308
SEQ1	466	5.46e-05	0.307
SEQ1	467	4.02e-05	0.305
SEQ1	468	2.64e-05	0.302
SEQ1	469	2.01e-05	0.298
SEQ1	470	1.72e-05	0.295
SEQ1	471	1.55e-05	0.293
SEQ1	472	1.69e-05	0.292
SEQ1	473	1.41e-05	0.291
SEQ1	474	1.27e-05	0.289
SEQ1	475	1.31e-05	0.287
SEQ1	476	1.72e-05	0.283
SEQ1	477	3.26e-05	0.275
SEQ1	478	7.11e-05	0.263
SEQ1	479	0.000108	0.251
SEQ1	480	0.0001	0.242
SEQ1	481	6.27e-05	0.236
SEQ1	482	3.86e-05	0.232
SEQ1	483	3.44e-05	0.230
SEQ1	484	3.01e-05	0.229
SEQ1	485	3.86e-05	0.228
SEQ1	486	5.71e-05	0.227
SEQ1	487	6.42e-05	0.226
SEQ1	488	6.98e-05	0.224
SEQ1	489	0.000107	0.222
SEQ1	490	0.000168	0.220
SEQ1	491	0.000225	0.217
SEQ1	492	0.000252	0.216
SEQ1	493	0.000252	0.215
SEQ1	494	0.000246	0.213
SEQ1	495	0.000214	0.211
SEQ1	496	0.000184	0.206
SEQ1	497	0.000295	0.200
SEQ1	498	0.000427	0.194
SEQ1	499	0.000517	0.188
SEQ1	500	0.00086	0.185
SEQ1	501	0.000864	0.183
SEQ1	502	0.000749	0.181
SEQ1	503	0.000746	0.179
SEQ1	504	0.00083	0.177
SEQ1	505	0.000705	0.173
SEQ1	506	0.000773	0.168
SEQ1	507	0.000588	0.163
SEQ1	508	0.000415	0.156
SEQ1	509	0.000346	0.151
SEQ1	510	0.000319	0.143
SEQ1	511	0.000421	0.137
SEQ1	512	0.000637	0.130
SEQ1	513	0.000722	0.125
SEQ1	514	0.00056	0.122
SEQ1	515	0.000413	0.118
SEQ1	516	0.000337	0.114
SEQ1	517	0.00032	0.108
SEQ1	518	0.000382	0.104
SEQ1	519	0.000749	0.102
SEQ1	520	0.00113	0.102
SEQ1	521	0.00137	0.102
SEQ1	522	0.00119	0.103
SEQ1	523	0.000856	0.103
SEQ1	524	0.000538	0.103
SEQ1	525	0.000404	0.102
SEQ1	526	0.000508	0.101
SEQ1	527	0.000934	0.0993
SEQ1	528	0.00168	0.0970
SEQ1	529	0.00183	0.0941
SEQ1	530	0.00229	0.0938
SEQ1	531	0.00285	0.0949
SEQ1	532	0.00304	0.0966
SEQ1	533	0.00239	0.0974
SEQ1	534	0.00234	0.0976
SEQ1	535	0.00234	0.0980
SEQ1	536	0.00181	0.0969
SEQ1	537	0.00154	0.0944
SEQ1	538	0.00103	0.0898
SEQ1	539	0.000951	0.0849
SEQ1	540	0.00135	0.0820
SEQ1	541	0.00181	0.0801
SEQ1	542	0.00201	0.0795
SEQ1	543	0.00244	0.0802
SEQ1	544	0.00256	0.0813
SEQ1	545	0.00279	0.0828
SEQ1	546	0.00277	0.0847
SEQ1	547	0.0034	0.0871
SEQ1	548	0.00268	0.0890
SEQ1	549	0.00246	0.0908
SEQ1	550	0.00155	0.0921
SEQ1	551	0.00159	0.0935
SEQ1	552	0.00223	0.0957
SEQ1	553	0.00293	0.0986
SEQ1	554	0.00543	0.104
SEQ1	555	0.00912	0.113
SEQ1	556	0.0148	0.127
SEQ1	557	0.0176	0.144
SEQ1	558	0.0142	0.158
SEQ1	559	0.0109	0.168
SEQ1	560	0.0107	0.178
SEQ1	561	0.00622	0.183
SEQ1	562	0.00404	0.187
SEQ1	563	0.00292	0.190
SEQ1	564	0.00186	0.191
SEQ1	565	0.00177	0.193
SEQ1	566	0.00151	0.194
SEQ1	567	0.00231	0.196
SEQ1	568	0.00548	0.200
SEQ1	569	0.0111	0.211
SEQ1	570	0.0138	0.223
SEQ1	571	0.0124	0.235
SEQ1	572	0.00783	0.242
SEQ1	573	0.00296	0.244
SEQ1	574	0.00213	0.246
SEQ1	575	0.00159	0.248
SEQ1	576	0.00195	0.250
SEQ1	577	0.00257	0.252
SEQ1	578	0.00383	0.256
SEQ1	579	0.00502	0.260
SEQ1	580	0.00602	0.266
SEQ1	581	0.00558	0.271
SEQ1	582	0.00426	0.275
SEQ1	583	0.00288	0.277
SEQ1	584	0.00207	0.278
SEQ1	585	0.00151	0.280
SEQ1	586	0.0016	0.281
SEQ1	587	0.00255	0.284
SEQ1	588	0.00689	0.290
SEQ1	589	0.0228	0.313
SEQ1	590	0.0627	0.375
SEQ1	591	0.082	0.457
SEQ1	592	0.0371	0.494
SEQ1	593	0.0104	0.504
SEQ1	594	0.0027	0.506
SEQ1	595	0.00139	0.508
SEQ1	596	0.00137	0.509
SEQ1	597	0.00229	0.511
SEQ1	598	0.00412	0.515
SEQ1	599	0.00875	0.523
SEQ1	600	0.0157	0.539
SEQ1	601	0.0232	0.562
SEQ1	602	0.0225	0.584
SEQ1	603	0.0183	0.602
SEQ1	604	0.011	0.613
SEQ1	605	0.00517	0.618
SEQ1	606	0.00415	0.622
SEQ1	607	0.00434	0.626
SEQ1	608	0.00703	0.633
SEQ1	609	0.00879	0.642
SEQ1	610	0.0143	0.656
SEQ1	611	0.0202	0.676
SEQ1	612	0.0199	0.696
SEQ1	613	0.0153	0.712
SEQ1	614	0.0083	0.720
SEQ1	615	0.00426	0.724
SEQ1	616	0.00203	0.726
SEQ1	617	0.00106	0.727
SEQ1	618	0.00157	0.729
SEQ1	619	0.00347	0.732
SEQ1	620	0.00688	0.739
SEQ1	621	0.0146	0.754
SEQ1	622	0.0178	0.771
SEQ1	623	0.0207	0.792
SEQ1	624	0.0121	0.804
SEQ1	625	0.00642	0.810
SEQ1	626	0.00267	0.813
SEQ1	627	0.00125	0.814
SEQ1	628	0.00086	0.815
SEQ1	629	0.000663	0.816
SEQ1	630	0.000487	0.816
SEQ1	631	0.000487	0.816
SEQ1	632	0.000498	0.817
SEQ1	633	0.000739	0.818
SEQ1	634	0.00123	0.819
SEQ1	635	0.00143	0.820
SEQ1	636	0.00183	0.822
SEQ1	637	0.0017	0.823
SEQ1	638	0.00119	0.824
SEQ1	639	0.00104	0.825
SEQ1	640	0.000559	0.825
SEQ1	641	0.000251	0.825
SEQ1	642	0.000144	0.825
SEQ1	643	7.52e-05	0.825
SEQ1	644	6.81e-05	0.825
SEQ1	645	7.35e-05	0.825
SEQ1	646	0.0001	0.824
SEQ1	647	9.18e-05	0.823
SEQ1	648	8.45e-05	0.823
SEQ1	649	7.18e-05	0.822
SEQ1	650	5.48e-05	0.821
SEQ1	651	4.49e-05	0.821
SEQ1	652	5.25e-05	0.820
SEQ1	653	8.68e-05	0.819
SEQ1	654	0.000115	0.819
SEQ1	655	0.000188	0.819
SEQ1	656	0.000227	0.818
SEQ1	657	0.000312	0.818
SEQ1	658	0.000407	0.818
SEQ1	659	0.000291	0.818
SEQ1	660	0.000204	0.818
SEQ1	661	9.07e-05	0.817
SEQ1	662	4.72e-05	0.817
SEQ1	663	2.63e-05	0.816
SEQ1	664	1.87e-05	0.816
SEQ1	665	1.78e-05	0.816
SEQ1	666	3.32e-05	0.815
SEQ1	667	7.81e-05	0.814
SEQ1	668	0.000148	0.813
SEQ1	669	0.000156	0.812
SEQ1	670	0.000115	0.811
SEQ1	671	9.26e-05	0.810
SEQ1	672	6.98e-05	0.810
SEQ1	673	6.43e-05	0.810
SEQ1	674	6.43e-05	0.809
SEQ1	675	7.03e-05	0.807
SEQ1	676	4.63e-05	0.805
SEQ1	677	3.12e-05	0.803
SEQ1	678	2.03e-05	0.800
SEQ1	679	1.36e-05	0.797
SEQ1	680	7.32e-06	0.795
SEQ1	681	5.15e-06	0.793
SEQ1	682	3.9e-06	0.790
SEQ1	683	3.82e-06	0.788
SEQ1	684	4.01e-06	0.787
SEQ1	685	5.69e-06	0.786
SEQ1	686	1.09e-05	0.785
SEQ1	687	2.16e-05	0.784
SEQ1	688	3.69e-05	0.782
SEQ1	689	3.62e-05	0.780
SEQ1	690	2.14e-05	0.777
SEQ1	691	9.88e-06	0.775
SEQ1	692	4.52e-06	0.772
SEQ1	693	1.92e-06	0.769
SEQ1	694	1.14e-06	0.766
SEQ1	695	1.2e-06	0.763
SEQ1	696	1.62e-06	0.761
SEQ1	697	2.49e-06	0.759
SEQ1	698	4.28e-06	0.758
SEQ1	699	9.03e-06	0.755
SEQ1	700	1.27e-05	0.753
SEQ1	701	1.45e-05	0.747
SEQ1	702	1.33e-05	0.738
SEQ1	703	9.77e-06	0.723
SEQ1	704	5.39e-06	0.706
SEQ1	705	4.32e-06	0.691
SEQ1	706	3.55e-06	0.681
SEQ1	707	5.79e-06	0.670
SEQ1	708	7.42e-06	0.664
SEQ1	709	6.31e-06	0.660
SEQ1	710	5.98e-06	0.657
SEQ1	711	3.91e-06	0.655
SEQ1	712	2.58e-06	0.653
SEQ1	713	1.8e-06	0.652
SEQ1	714	1.35e-06	0.649
SEQ1	715	1.3e-06	0.644
SEQ1	716	1.83e-06	0.633
SEQ1	717	3.26e-06	0.619
SEQ1	718	6.01e-06	0.607
SEQ1	719	1.1e-05	0.599
SEQ1	720	2.31e-05	0.596
SEQ1	721	3.92e-05	0.594
SEQ1	722	4.84e-05	0.592
SEQ1	723	3.7e-05	0.590
SEQ1	724	2.03e-05	0.588
SEQ1	725	1.09e-05	0.584
SEQ1	726	5.4e-06	0.579
SEQ1	727	4.75e-06	0.573
SEQ1	728	5.02e-06	0.567
SEQ1	729	8.35e-06	0.563
SEQ1	730	1.08e-05	0.560
SEQ1	731	1.46e-05	0.558
SEQ1	732	2.43e-05	0.557
SEQ1	733	3.45e-05	0.555
SEQ1	734	4.43e-05	0.553
SEQ1	735	4.72e-05	0.546
SEQ1	736	4.82e-05	0.523
SEQ1	737	5.09e-05	0.460
SEQ1	738	3.27e-05	0.378
SEQ1	739	3.44e-05	0.341
SEQ1	740	3.39e-05	0.331
SEQ1	741	3.74e-05	0.328
SEQ1	742	4.05e-05	0.327
SEQ1	743	4.93e-05	0.326
SEQ1	744	5.85e-05	0.323
SEQ1	745	8.71e-05	0.319
SEQ1	746	9.7e-05	0.311
SEQ1	747	0.000109	0.295
SEQ1	748	9.06e-05	0.272
SEQ1	749	6.02e-05	0.249
SEQ1	750	4.28e-05	0.231
SEQ1	751	4.49e-05	0.220
SEQ1	752	4.28e-05	0.215
SEQ1	753	6.19e-05	0.211
SEQ1	754	9.15e-05	0.207
SEQ1	755	0.000196	0.200
SEQ1	756	0.00041	0.192
SEQ1	757	0.000585	0.178
SEQ1	758	0.000764	0.158
SEQ1	759	0.000556	0.139
SEQ1	760	0.000454	0.124
SEQ1	761	0.000317	0.116
SEQ1	762	0.000233	0.112
SEQ1	763	0.000241	0.110
SEQ1	764	0.000296	0.110
SEQ1	765	0.000375	0.108
SEQ1	766	0.000557	0.106
SEQ1	767	0.000844	0.100
SEQ1	768	0.00116	0.0865
SEQ1	769	0.00204	0.0708
SEQ1	770	0.00233	0.0524
SEQ1	771	0.00214	0.0425
SEQ1	772	0.0014	0.0374
SEQ1	773	0.000562	0.0353
SEQ1	774	0.000403	0.0345
SEQ1	775	0.000534	0.0342
SEQ1	776	0.000807	0.0343
SEQ1	777	0.00173	0.0355
SEQ1	778	0.00307	0.0381
SEQ1	779	0.00298	0.0406
SEQ1	780	0.00202	0.0419
SEQ1	781	0.00105	0.0417
SEQ1	782	0.000572	0.0408
SEQ1	783	0.000369	0.0394
SEQ1	784	0.000324	0.0380
SEQ1	785	0.000384	0.0372
SEQ1	786	0.000511	0.0367
SEQ1	787	0.000906	0.0370
SEQ1	788	0.0018	0.0386
SEQ1	789	0.00449	0.0429
SEQ1	790	0.00753	0.0504
SEQ1	791	0.00888	0.0592
SEQ1	792	0.00789	0.0670
SEQ1	793	0.00377	0.0707
SEQ1	794	0.00255	0.0731
SEQ1	795	0.00138	0.0744
SEQ1	796	0.00157	0.0759
SEQ1	797	0.00223	0.0781
SEQ1	798	0.0039	0.0820
SEQ1	799	0.00792	0.0898
SEQ1	800	0.00832	0.0981
SEQ1	801	0.00828	0.106
